no,name,lat,lon,catchment,river
115647,Solwaybank,55.08629786,-3.086937218,Esk (Dumfriesshire),
115648,Sorbie,54.79252816,-4.42628864,Cree,
115649,South Moorhouse,55.73251416,-4.350287842,Clyde,
234315,Spey Dam,57.01121062,-4.336367491,Spey,Spey
335620,St Monance,56.2047855,-2.78271364,Firth of Forth Group,
536844,Stewarton,55.72543649,-4.445306033,Irvine and Ayr,
369551,Stonyford,56.84214794,-2.811870347,Esk Group,
300383,Strathkelvin House,55.94300475,-4.172710018,Clyde,
11368,Strathkinness,56.33136897,-2.863918962,Firth of Tay Group,
234319,Strathy Bridge,58.55872143,-4.002604762,Naver group,Strathy
15172,Strathyre,56.32054504,-4.328975608,Forth,
361047,Strowan,56.36918493,-3.92115763,Earn,
511327,Tarland WWTP,57.12504883,-2.851450464,Dee (Aberdeenshire),
14999,Teviothead,55.34222734,-2.936481216,Tweed,Teviot
115244,The Lecht,57.20200168,-3.249607166,Spey,
15158,Tillicoultry,56.148819,-3.7458095,Forth,
115654,Tobermory,56.62026156,-6.080645248,Inner Hebrides,
564863,Tomatin No2,57.33816398,-4.013360208,Findhorn Group,
15190,Torduff,55.8968016,-3.267160193,Almond Group,
234326,Torwinny,57.52198313,-3.446843553,Findhorn Group,
323188,Townfoot (Glencaple),54.99473579,-3.568993615,Nith,
234327,Tromie Bridge,57.0717185,-3.998638147,Spey,Tromie
115247,Tulchan,57.39918687,-3.44381882,Spey,
506152,Unthank Raingauge,55.24281443,-2.964073002,Esk (Dumfriesshire),
115657,Upper Black Laggan,55.06299005,-4.387612866,Dee (Galloway),
116007,Upper Monachyle,56.39271229,-4.463706898,Forth,Monachyle
115406,Urquhart,57.59399199,-4.374371661,Conon Group,
15101,Victoria Lodge,55.4925265,-3.414675883,Tweed,
234331,Wardend Bridge,57.58239454,-3.608335401,Findhorn Group,Mosset Burn
369554,Waterside Perth,56.89929851,-2.820760629,Esk Group,North Esk (Tayside)
115660,Waulkmill Glen,55.79484353,-4.353627607,Clyde,
116008,Weisdale Mill,60.2593269,-1.288604022,Shetlands,Weisdale Burn
115250,Westhill,57.14756943,-2.291989375,Dee (Aberdeenshire),
14881,Whitburn,55.87157334,-3.682936938,Almond Group,Almond (Lothian)
502874,White Clauchrie,55.1412921,-4.677220867,Cree,
15067,Wolfhill,56.48512657,-3.370467732,Tay,
